completion_group,source,target,count,distinct_sessions,conditional_percent,show_in_main_figure
completed,companion_chat,description_submit,25,25,20.16,1
completed,companion_chat,dialogue,1,1,0.81,0
completed,companion_chat,hint_request,4,3,3.23,1
completed,companion_chat,stage_pass,66,66,53.23,1
completed,companion_chat,verify_fail,28,25,22.58,1
completed,description_submit,stage_pass,224,224,100.0,1
completed,dialogue,fix_code,24,22,9.68,1
completed,dialogue,generated_error_code,224,224,90.32,1
completed,fix_code,dialogue,2,2,0.73,0
completed,fix_code,stage_pass,272,224,99.27,1
completed,generated_error_code,dialogue,20,20,8.93,1
completed,generated_error_code,fix_code,204,204,91.07,1
completed,hint_request,companion_chat,10,9,27.78,1
completed,hint_request,description_submit,4,4,11.11,1
completed,hint_request,dialogue,2,2,5.56,0
completed,hint_request,stage_pass,11,11,30.56,1
completed,hint_request,verify_fail,9,9,25.0,1
completed,stage_pass,companion_chat,61,61,14.56,1
completed,stage_pass,dialogue,225,221,53.7,1
completed,stage_pass,fix_code,46,42,10.98,1
completed,stage_pass,hint_request,22,22,5.25,1
completed,stage_pass,verify_fail,65,65,15.51,1
completed,verify_fail,companion_chat,28,19,27.45,1
completed,verify_fail,hint_request,6,6,5.88,1
completed,verify_fail,stage_pass,68,68,66.67,1
incomplete,companion_chat,description_submit,13,13,31.71,1
incomplete,companion_chat,hint_request,18,14,43.9,1
incomplete,companion_chat,stage_pass,1,1,2.44,1
incomplete,companion_chat,verify_fail,9,8,21.95,1
incomplete,description_submit,stage_pass,85,85,100.0,1
incomplete,hint_request,companion_chat,23,16,65.71,1
incomplete,hint_request,description_submit,6,6,17.14,1
incomplete,hint_request,stage_pass,1,1,2.86,1
incomplete,hint_request,verify_fail,5,2,14.29,1
incomplete,stage_pass,companion_chat,38,38,55.88,1
incomplete,stage_pass,dialogue,6,6,8.82,1
incomplete,stage_pass,hint_request,16,16,23.53,1
incomplete,stage_pass,verify_fail,8,8,11.76,1
incomplete,verify_fail,companion_chat,5,3,29.41,1
incomplete,verify_fail,hint_request,4,2,23.53,1
incomplete,verify_fail,stage_pass,8,8,47.06,1
